turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
1,1,introduction,introduction,Harold Chun,Introduction (7 remaining),False
2,1,introduction,introduction,Bobby Herrerra,Introduction (6 remaining),False
3,1,introduction,introduction,Pauline Thompson,Introduction (5 remaining),False
4,1,introduction,introduction,Louis Cagliostro,Introduction (4 remaining),False
5,1,introduction,introduction,Tim Kane,Introduction (3 remaining),False
6,1,introduction,introduction,Margaret Chun,Introduction (2 remaining),False
7,1,introduction,introduction,Fiona McAllister,Introduction (1 remaining),False
8,2,discussion,initial_framing,Pauline Thompson,"Tie-breaker: Among the tied players, Harold Chun, Bobby Herrerra, and Pauline Thompson have contributed the fewest novel facts and have not yet shared private knowledge. Pauline has a private fact about the murder location and intends to ask a question that could force anyone with access to the bathroom to clarify their presence, directly narrowing the suspect list. This targeted question is likely to advance the investigation more effectively than the silent or neutral positions of Harold or Bobby. Therefore, Pauline Thompson should speak next.",False
9,2,discussion,initial_framing,Fiona McAllister,Fiona McAllister was directly addressed by Pauline Thompson,True
10,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Fiona McAllister,True
11,2,discussion,initial_framing,Bobby Herrerra,"Bobby Herrerra has the strongest self-selection bid (4/9, reason=question)",False
12,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
13,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Margaret Chun,True
14,2,discussion,initial_framing,Louis Cagliostro,"Louis Cagliostro has the strongest self-selection bid (2/9, reason=question)",False
15,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Louis Cagliostro,True
16,2,discussion,initial_framing,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (3/9, reason=question)",False
17,2,discussion,initial_framing,Harold Chun,Harold Chun was directly addressed by Pauline Thompson,True
18,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Harold Chun,True
19,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Margaret Chun,True
20,2,discussion,initial_framing,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (4/9, reason=question)",False
21,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
22,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (3/9, reason=contradiction)",False
23,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
24,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Bobby Herrerra,True
25,2,discussion,initial_framing,Louis Cagliostro,Tie-breaker: Both Margaret Chun and Louis Cagliostro have not spoken yet and are tied in bid.  Louis’s proposed question—asking the group who left the apartment with Rick at 9:15—targets a missing piece of the timeline that no one has yet addressed and will directly narrow the suspect list.  Margaret’s question would focus on Bobby’s alibi but does not introduce a new line of inquiry.  Therefore Louis is the better choice to advance the investigation.,False
26,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
