turn,round,phase,speaker,target,response_to_speaker,is_direct_target,is_question,is_followup_question,is_justification_request,is_pressure_signal,is_mention,text
4,1,introduction,Tim Kane,Harold Chun,,False,False,False,False,False,True,"Hi, I'm Tim Kane, a PhD student in finance under Professor Chun—just trying to keep my dissertation on track while navigating the usual quirks of grad life."
5,1,introduction,Margaret Chun,Harold Chun,,False,False,False,False,False,True,"I’m Margaret Chun, director of community engagement at the Art Institute—Harold’s wife—and I’ve seen more than a few people try to hide their worries behind polite smiles."
7,2,discussion,Harold Chun,Tim Kane,,True,True,True,False,False,True,"Tim, where were you between 8:30 and 9:07, after the party and before arriving at Rick's apartment?"
9,2,discussion,Pauline Thompson,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, did you go into the bathroom after 8:45?"
11,2,discussion,Louis Cagliostro,Tim Kane,,True,True,True,False,False,True,"Tim, you said you left the party at 8:45, but the body was found in the bathroom. Did you ever enter the bathroom after that?"
13,2,discussion,Margaret Chun,Pauline Thompson,,True,True,False,False,False,True,"Pauline, did you see Bobby enter the bathroom after 8:45?"
13,2,discussion,Margaret Chun,Bobby Herrerra,,False,True,False,False,False,True,"Pauline, did you see Bobby enter the bathroom after 8:45?"
14,2,discussion,Pauline Thompson,Tim Kane,Margaret Chun,True,True,True,False,False,True,"No, I didn’t see him enter the bathroom. Tim, where were you between 8:45 and 9:07?"
16,2,discussion,Harold Chun,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, can you tell me exactly when you entered the bathroom and what you did there?"
18,2,discussion,Fiona McAllister,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, after you left the bathroom, did you see anyone else in the apartment?"
19,2,discussion,Bobby Herrerra,Tim Kane,Fiona McAllister,True,True,False,False,False,True,"No, I didn’t see anyone. Tim, did you see anyone else in the bathroom after 8:45?"
21,2,discussion,Harold Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, you mentioned you slipped into the bathroom at about 8:48 and left by 8:55—can you tell me exactly when you exited, and whether you saw anyone else enter after you left?"
23,2,discussion,Pauline Thompson,Margaret Chun,,True,True,False,False,False,True,"Margaret, did you see anyone enter the bathroom after you arrived at the apartment?"
24,2,discussion,Margaret Chun,Tim Kane,Pauline Thompson,True,True,False,False,False,True,"No, I didn’t see anyone enter after I got in. Tim, did you see anyone else in the bathroom after 8:45?"
27,3,discussion,Pauline Thompson,Margaret Chun,,True,True,True,False,False,True,"Margaret, did you personally go into the bathroom after you arrived at the apartment?"
28,3,discussion,Margaret Chun,Tim Kane,Pauline Thompson,True,True,True,False,False,True,"No, I didn’t go in. Tim, did you see anyone else in the bathroom after 8:45?"
30,3,discussion,Fiona McAllister,Pauline Thompson,,True,True,True,False,False,True,"Pauline, did you enter the bathroom after 8:55?"
31,3,discussion,Pauline Thompson,Harold Chun,Fiona McAllister,True,True,False,False,False,True,"No, I didn’t. Harold, did you see me entering the bathroom after 8:55?"
32,3,discussion,Harold Chun,Bobby Herrerra,Pauline Thompson,True,True,False,False,False,True,"No, I didn't see you. Bobby, did you see anyone else in the bathroom after you entered?"
33,3,discussion,Bobby Herrerra,Fiona McAllister,Harold Chun,True,True,True,False,False,True,"No, I didn’t see anyone else. Fiona, did you enter the bathroom after 8:55?"
34,3,discussion,Fiona McAllister,Tim Kane,Bobby Herrerra,True,True,False,False,False,True,"No, I didn't. Tim, did you see anyone else in the bathroom after 8:45?"
36,3,discussion,Harold Chun,Tim Kane,,True,True,True,False,False,True,"Tim, what time did you actually enter Rick's apartment after leaving the party?"
38,3,discussion,Pauline Thompson,Bobby Herrerra,,True,False,False,False,False,True,"Bobby, you said you slipped into the bathroom at 8:48, but you were still with us in the car until 9:00."
39,3,discussion,Bobby Herrerra,Pauline Thompson,Pauline Thompson,True,True,True,False,False,True,"I was still in the car until about 9:00, but I slipped into the bathroom at 8:48, grabbed a drink, and left the car to get back in for a quick walk. Pauline, did you see anyone else in the bathroom after you left the car at 9:00?"
40,3,discussion,Pauline Thompson,Bobby Herrerra,Bobby Herrerra,True,True,True,False,False,True,"No, I didn't see anyone else. Bobby, did you see anyone else in the apartment after 9:00?"
42,3,discussion,Margaret Chun,Fiona McAllister,,True,True,False,False,False,True,"Fiona, did you see anyone in the bathroom after 8:45?"
44,3,discussion,Harold Chun,Tim Kane,,True,True,False,False,False,True,"Tim, what time did you actually enter Rick's apartment after leaving the party?"
46,3,discussion,Louis Cagliostro,Tim Kane,,True,True,True,False,False,True,"Tim, when did you actually get back into Rick's apartment after leaving the party?"
48,4,discussion,Bobby Herrerra,Tim Kane,,True,True,True,False,False,True,"Tim, after you got back into Rick’s apartment at 8:52, did you take his marble paperweight from his office?"
50,4,discussion,Margaret Chun,Pauline Thompson,,True,True,False,False,False,True,"Pauline, did you take Rick's marble paperweight from his office?"
52,4,discussion,Harold Chun,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, did you take Rick's marble paperweight from his office?"
54,4,discussion,Harold Chun,Bobby Herrerra,,True,True,True,True,False,True,"Bobby, why did you go into the bathroom alone after 8:55?"
55,4,discussion,Bobby Herrerra,Fiona McAllister,Harold Chun,True,False,False,False,False,True,"I just wanted a quick drink before the noise got louder. I didn’t want to be seen with Rick. I was hoping to talk to Fiona, but she left."
56,4,discussion,Fiona McAllister,Bobby Herrerra,Bobby Herrerra,True,True,True,False,False,True,"I was in the car until about 9:00, but I did slip into the bathroom at 8:48. Bobby, did you have a key to Rick’s office that evening?"
58,4,discussion,Louis Cagliostro,Tim Kane,,True,True,False,False,False,True,"Tim, did you take Rick's marble paperweight from his office after you returned?"
60,4,discussion,Pauline Thompson,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, you said you were still in the car until 9:00 but you slipped into the bathroom at 8:48—how is that possible?"
62,4,discussion,Harold Chun,Tim Kane,,True,True,True,False,False,True,"Tim, did you have the key to Rick's office that evening?"
64,4,discussion,Pauline Thompson,Harold Chun,,True,True,True,False,False,True,"Harold, did you have Rick's office key that evening?"
66,4,discussion,Fiona McAllister,Pauline Thompson,,True,True,True,False,False,True,"Pauline, did you have a key to Rick's office that evening?"
68,5,discussion,Louis Cagliostro,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, you said you didn’t have the office key that evening, but you also said you were in the bathroom at 8:48. How did you get in?"
70,5,discussion,Harold Chun,Margaret Chun,,True,True,False,False,False,True,"Margaret, did you have Rick's office key that evening?"
72,5,discussion,Bobby Herrerra,Fiona McAllister,,True,True,False,False,False,True,"Fiona, did you have a key to Rick’s office that evening?"
74,5,discussion,Pauline Thompson,Louis Cagliostro,,True,True,False,False,False,True,"Louis, did you see a note saying “Pay up or die!” near Rick’s body?"
76,5,discussion,Harold Chun,Louis Cagliostro,,True,True,True,False,False,True,"Louis, did you have a key to Rick's office that evening?"
78,5,discussion,Margaret Chun,Louis Cagliostro,,True,True,True,False,False,True,"Louis, did you see the note before you left?"
80,5,discussion,Pauline Thompson,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, you said you were in the car until 9:00, but you also said you slipped into the bathroom at 8:48—did you leave the car at 8:48 and return before 9:00?"
82,5,discussion,Fiona McAllister,Tim Kane,,True,True,False,False,False,True,"Tim, did you see the note?"
83,5,discussion,Tim Kane,Fiona McAllister,Fiona McAllister,True,True,True,False,False,True,"No, I didn't see it. Fiona, where did you find it?"
84,5,discussion,Fiona McAllister,Pauline Thompson,Tim Kane,True,True,False,False,False,True,"I found it in the hallway outside the bathroom, near the door, while looking for the disk. Pauline, did you see the note before you left?"
86,5,discussion,Harold Chun,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, did you have a key to Rick's office that evening?"
